Deal ID,Balance Off Balance,Main Type,Deal Type,Pay Recieve,Underlying,CCY,Notional,Maturity Date,Interest Type,Interest Change Date,Interest change N,Interest change freq,Interest percent,NPL-DELTA ILS,Portfolio,GAMMA ILS,VEGA ILS,Couterparty
2.04057E+36,Balance,PAM,AGH       ,1,IR,CPE,"15,000,000",31/07/2024,F,,M,0,0.04,"22,721,461",0,,,COUNTRY_X
2.04057E+36,Balance,ZCB,MKM       ,1,IR,ILS,"92,446,800",7/6/2017,F,,M,0,0.00,"92,154,142",0,,,COUNTRY_X
2.04057E+36,Balance,PAM,AGH       ,1,IR,ILS,"29,808,290",31/03/2023,F,,M,0,0.04,"34,838,778",0,,,COUNTRY_X
2.04096E+36,Balance,PAM,AGH       ,1,IR,USD,"4,000,000",30/06/2022,F,,M,0,0.04,"17,512,713",0,,,CORPORATE_X
1.505E+28,Offbalance,IRSWP,IRS       ,1,IR,ILS,"-38,000,000",23/03/2026,F,,0,0,0.06,"-53,572,103",DROOM     ,,,CORPORATE_OTC_X
1.505E+28,Offbalance,IRSWP,IRS       ,1,IR,ILS,"38,000,000",23/03/2026,V,21/12/2016,Q,1,0.00,"38,000,912",DROOM     ,,,CORPORATE_OTC_X
1.50753E+28,Offbalance,IRSWP,IRS       ,1,IR,ILS,"-38,000,000",23/03/2026,V,21/12/2016,Q,1,0.00,"-38,000,912",ILS_FRA_NE,,,CORPORATE_OTC_X
1.50753E+28,Offbalance,IRSWP,IRS       ,1,IR,ILS,"38,000,000",23/03/2026,F,,0,0,0.06,"53,572,103",ILS_FRA_NE,,,CORPORATE_OTC_X
2.17514E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,"-5,000,000",2/3/2026,V,1/12/2016,Q,1,0.01,"-18,809,796",DROOM     ,,,CORPORATE_OTC_X
2.17514E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,"5,000,000",2/3/2026,F,,0,0,0.02,"19,387,696",DROOM     ,,,CORPORATE_OTC_X
2.18707E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,"-5,000,000",24/11/2025,F,,0,0,0.02,"-19,261,123",CY_BONDTRA,,,CORPORATE_OTC_X
2.18707E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,"5,000,000",24/11/2025,V,25/11/2016,Q,1,0.01,"18,812,528",CY_BONDTRA,,,CORPORATE_OTC_X
2.17799E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,"-5,000,000",16/03/2026,F,,0,0,0.02,"-19,463,369",CY_BONDTRA,,,BANK_OTC_x
2.17799E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,"5,000,000",16/03/2026,V,15/12/2016,Q,1,0.01,"18,802,192",CY_BONDTRA,,,BANK_OTC_x
2.17632E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,"-5,000,000",16/03/2026,V,16/12/2016,Q,1,0.01,"-18,801,745",DROOM     ,,,BANK_OTC_x
2.17632E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,"5,000,000",16/03/2026,F,,0,0,0.02,"19,306,355",DROOM     ,,,BANK_OTC_x
2.18138E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,"-5,000,000",16/03/2026,F,,0,0,0.02,"-19,350,063",CY_BONDTRA,,,BANK_OTC_x
2.18138E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,"5,000,000",16/03/2026,V,15/12/2016,Q,1,0.01,"18,802,192",CY_BONDTRA,,,BANK_OTC_x
2.23901E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,"-5,000,000",16/03/2026,V,16/12/2016,Q,1,0.01,"-18,801,745",DROOM     ,,,BANK_OTC_x
2.23901E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,"5,000,000",16/03/2026,F,,0,0,0.01,"18,897,743",DROOM     ,,,BANK_OTC_x
2.2247E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,"-5,000,000",16/03/2026,F,,0,0,0.01,"-18,681,271",CY_BONDTRA,,,BANK_OTC_x
2.2247E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,"5,000,000",16/03/2026,V,16/12/2016,Q,1,0.01,"18,801,745",CY_BONDTRA,,,BANK_OTC_x
8.26917E+27,Offbalance,IRSWP,IRS       ,1,IR,ILS,"-50,000,000",20/04/2017,V,20/10/2016,Q,1,0.00,"-50,008,745",ILS_FRA_NE,,,BANK_OTC_x
8.26917E+27,Offbalance,IRSWP,IRS       ,1,IR,ILS,"50,000,000",20/04/2017,F,,0,0,0.05,"52,551,514",ILS_FRA_NE,,,BANK_OTC_x
1.4372E+28,Offbalance,IRSWP,IRSS      ,1,FX,EUR,"-13,000,000",18/03/2020,V,20/03/2017,M,6,0.00,"-54,639,000",CY_ISRTRA ,,,BANK_OTC_x
1.4372E+28,Offbalance,IRSWP,IRSS      ,1,FX,EUR,"13,000,000",18/03/2020,F,,0,0,0.03,"62,104,786",CY_ISRTRA ,,,BANK_OTC_x
2.26222E+28,Offbalance,FXOP,CALLKOP   ,1,FX,USD,"-11,880,000",16/12/2016,,,,0,0.00,"-40,803,825",SALES_I   ,2800,1400,CORPORATE_OTC_Y
2.26222E+28,Offbalance,FXOP,CALLKOP   ,1,FX,EUR,"11,000,000",16/12/2016,,,,0,0.00,"42,255,159",SALES_I   ,2900,1450,CORPORATE_OTC_Y
2.26223E+28,Offbalance,FXOP,CALLS     ,1,FX,EUR,"-20,000,000",13/10/2016,,,,0,0.00,"-19,201,490",CLS_IOHEDG,3000,1500,CORPORATE_OTC_Y
2.26223E+28,Offbalance,FXOP,CALLS     ,1,FX,USD,"22,680,000",13/10/2016,,,,0,0.00,"19,469,077",CLS_IOHEDG,3100,-1550,CORPORATE_OTC_Y
2.26223E+28,Offbalance,FXOP,PUTP      ,1,FX,EUR,"-20,000,000",13/10/2016,,,,0,0.00,"-16,828,896",CLS_IOHEDG,3200,1600,CORPORATE_OTC_Y
2.26223E+28,Offbalance,FXOP,PUTP      ,1,FX,USD,"22,040,000",13/10/2016,,,,0,0.00,"16,581,912",CLS_IOHEDG,3300,165,CORPORATE_OTC_Y
2.26226E+28,Offbalance,FXOP,CALLKOS   ,1,FX,EUR,"-11,000,000",16/12/2016,,,,0,0.00,"-42,255,159",CLS_OPTION,-3400,-1700,CORPORATE_OTC_Y
2.26226E+28,Offbalance,FXOP,CALLKOS   ,1,FX,USD,"11,880,000",16/12/2016,,,,0,0.00,"40,803,825",CLS_OPTION,-3500,-1750,CORPORATE_OTC_Y
2.25144E+28,Offbalance,FXOUT,FWDS      ,1,FX,GBP,"-200,000",11/5/2017,,,,0,0.00,"-970,921",SALES_I   ,,,CORPORATE_OTC_Y
2.25144E+28,Offbalance,FXOUT,FWDS      ,1,FX,NOK,"2,223,960",11/5/2017,,,,0,0.00,"1,039,479",SALES_I   ,,,CORPORATE_OTC_Y
2.25145E+28,Offbalance,FXOUT,FWDP      ,1,FX,CHF,"-97,320",27/10/2016,,,,0,0.00,"-377,650",SALES_I   ,,,CORPORATE_OTC_Y
2.25145E+28,Offbalance,FXOUT,FWDP      ,1,FX,USD,"99,652",27/10/2016,,,,0,0.00,"374,356",SALES_I   ,,,CORPORATE_OTC_Y
2.25145E+28,Offbalance,FXOUT,FWDS      ,1,FX,USD,"-150,000",7/11/2016,,,,0,0.00,"-563,388",SALES_I   ,,,CORPORATE_OTC_Y
2.25145E+28,Offbalance,FXOUT,FWDS      ,1,FX,ILS,"565,080",7/11/2016,,,,0,0.00,"565,023",SALES_I   ,,,CORPORATE_OTC_Y
2.25146E+28,Offbalance,FXOUT,FWDS      ,1,FX,USD,"-200,000",13/10/2016,,,,0,0.00,"-751,486",SALES_I   ,,,CORPORATE_OTC_Y
2.25146E+28,Offbalance,FXOUT,FWDS      ,1,FX,ILS,"754,480",13/10/2016,,,,0,0.00,"754,455",SALES_I   ,,,CORPORATE_OTC_Y
2.24417E+28,Offbalance,FXOUT,FWDP      ,1,FX,NOK,"-2,125,600",11/5/2017,,,,0,0.00,"-993,505",SALES_I   ,,,CORPORATE_OTC_Y
2.24417E+28,Offbalance,FXOUT,FWDP      ,1,FX,GBP,"200,000",11/5/2017,,,,0,0.00,"970,921",SALES_I   ,,,CORPORATE_OTC_Y
00110204008602941100D003777639700Y2050,Offbalance,FXSWP,CIRS      ,1,FX,CPE,"-150,151,350",8/8/2018,F,, ,0,0.00,"-148,575,258",0,,,CORPORATE_OTC_Y
00110204008602941100D003777639700Y2050,Offbalance,FXSWP,CIRS      ,1,FX,ILS,"150,000,000",8/8/2018,F,, ,0,0.00,"150,665,931",0,,,BANK_Y
00110204008602955100D003756594200Y2050,Offbalance,FXSWP,CIRS      ,1,FX,CPE,"-99,200,000",27/10/2020,F,, ,0,0.00,"-96,602,479",0,,,BANK_Y
