Deal ID,Balance Off Balance,Main Type,Deal Type,Pay Recieve,Underlying,CCY,Notional,Maturity Date,Interest Type,Interest Change Date,Interest change N,Interest change freq,Interest percent,NPL-DELTA ILS,Portfolio,GAMMA ILS,VEGA ILS,Couterparty
2.04E+36,Balance,PAM,AGH       ,1,IR,CPE,15000000,7/31/2024,F,,M,0,0.04,22721461,0,,,COUNTRY_X
2.04E+36,Balance,ZCB,MKM       ,1,IR,ILS,92446800,8/1/2024,F,,M,0,0,92154142,0,,,COUNTRY_X
2.04E+36,Balance,PAM,AGH       ,1,IR,ILS,29808290,8/2/2024,F,,M,0,0.04,34838778,0,,,COUNTRY_X
2.04E+36,Balance,PAM,AGH       ,1,IR,USD,4000000,8/3/2024,F,,M,0,0.04,17512713,0,,,CORPORATE_X
1.51E+28,Offbalance,IRSWP,IRS       ,1,IR,ILS,-38000000,8/4/2024,F,,0,0,0.06,-53572103,DROOM     ,,,CORPORATE_OTC_X
1.51E+28,Offbalance,IRSWP,IRS       ,1,IR,ILS,38000000,8/5/2024,V,1/14/2016,Q,1,0,38000912,DROOM     ,,,CORPORATE_OTC_X
1.51E+28,Offbalance,IRSWP,IRS       ,1,IR,ILS,-38000000,8/6/2024,V,1/15/2016,Q,1,0,-38000912,ILS_FRA_NE,,,CORPORATE_OTC_X
1.51E+28,Offbalance,IRSWP,IRS       ,1,IR,ILS,38000000,8/7/2024,F,1/16/2016,0,0,0.06,53572103,ILS_FRA_NE,,,CORPORATE_OTC_X
2.18E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,-5000000,8/8/2024,V,1/17/2016,Q,1,0.01,-18809796,DROOM     ,,,CORPORATE_OTC_X
2.18E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,5000000,8/9/2024,F,1/18/2016,0,0,0.02,19387696,DROOM     ,,,CORPORATE_OTC_X
2.19E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,-5000000,8/10/2024,F,1/19/2016,0,0,0.02,-19261123,CY_BONDTRA,,,CORPORATE_OTC_X
2.19E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,5000000,8/11/2024,V,1/20/2016,Q,1,0.01,18812528,CY_BONDTRA,,,CORPORATE_OTC_X
2.18E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,-5000000,8/12/2024,F,1/21/2016,0,0,0.02,-19463369,CY_BONDTRA,,,BANK_OTC_x
