N,DEAL_ID,ON_OFF_BALANCE,DEAL_TYPE,PROD_TYPE,PAY_RECIEVE,CCY,NOTIONAL,MATURITY_DATE,INTEREST_TYPE,FIXING_DATE,INT_CHANGE_FREQ,INT_CHAGE_TERM,INT_PRE,NPV_DELTA_ILS,NETED,NETED_ID,Portfolio,NETTING_COUNTER,CONTRACT_MAT_DATE,validity date
274,9.50E+27,Offbalance,IRSWP,IRS       ,-1,EUR,10104842,1/28/2020,V,1/28/2020,Q,1,0.0032,42560584.02,1,1.71E+28,DROOM     ,1,,
275,9.50E+27,Offbalance,IRSWP,IRS       ,1,EUR,10104842,1/29/2020,F,,0,0,0.046,44949157.44,0,,DROOM     ,,,
276,1.07E+28,Offbalance,IRSWP,IRS       ,-1,ILS,25000000,1/30/2020,F,,0,0,0.0572,26424923.26,0,,ILS_FRA_NE,,,
277,1.07E+28,Offbalance,IRSWP,IRS       ,1,ILS,25000000,1/31/2020,V,1/28/2020,Q,1,0.001,25005136.22,0,,ILS_FRA_NE,,,
278,1.07E+28,Offbalance,IRSWP,IRS       ,-1,ILS,25000000,2/1/2020,F,,0,0,0.0583,26460115.09,0,,ILS_FRA_NE,,,
279,1.07E+28,Offbalance,IRSWP,IRS       ,1,ILS,25000000,2/2/2020,V,1/28/2020,Q,1,0.001,25005067.58,0,,ILS_FRA_NE,,,
280,1.08E+28,Offbalance,IRSWP,IRS       ,-1,ILS,25000000,2/3/2020,F,,0,0,0.0598,26493257.11,0,,ILS_FRA_NE,,,
281,1.08E+28,Offbalance,IRSWP,IRS       ,1,ILS,25000000,2/4/2020,V,1/28/2020,Q,1,0.0011,25004971.45,1,1.32E+28,ILS_FRA_NE,1,,
282,1.08E+28,Offbalance,IRSWP,IRS       ,-1,ILS,25000000,2/5/2020,F,,0,0,0.0596,26488184.84,0,,ILS_FRA_NE,,,
